,date,state,district,pincode,bio_age_5_17,bio_age_17_
0,08-12-2025,uttar pradesh,sant ravidas nagar,221301,11,14
1,08-12-2025,uttar pradesh,sant ravidas nagar,221309,15,9
2,08-12-2025,uttar pradesh,sant ravidas nagar,221310,4,8
3,08-12-2025,uttar pradesh,sant ravidas nagar,221314,8,10
4,08-12-2025,uttar pradesh,sant ravidas nagar,221406,7,7
5,08-12-2025,uttar pradesh,sant ravidas nagar bhadohi,221406,1,0
6,08-12-2025,uttarakhand,hardwar,247664,0,1
7,08-12-2025,uttarakhand,hardwar,249404,2,0
8,08-12-2025,west bengal,barddhaman,712402,0,1
9,08-12-2025,west bengal,barddhaman,713130,6,9
10,08-12-2025,west bengal,barddhaman,713140,2,2
11,08-12-2025,west bengal,barddhaman,713149,3,3
12,08-12-2025,west bengal,barddhaman,713154,1,6
13,08-12-2025,west bengal,barddhaman,713157,1,4
14,08-12-2025,west bengal,barddhaman,713158,0,1
15,08-12-2025,west bengal,barddhaman,713204,0,6
16,08-12-2025,west bengal,barddhaman,713213,6,3
17,08-12-2025,west bengal,barddhaman,713315,0,4
18,08-12-2025,west bengal,barddhaman,713340,0,2
19,08-12-2025,west bengal,barddhaman,713358,0,2
20,08-12-2025,west bengal,barddhaman,713364,0,3
21,08-12-2025,west bengal,barddhaman,713369,0,1
22,08-12-2025,west bengal,barddhaman,713376,1,0
23,08-12-2025,west bengal,barddhaman,713384,1,1
24,08-12-2025,west bengal,barddhaman,713407,2,7
25,08-12-2025,west bengal,barddhaman,713421,4,2
26,08-12-2025,west bengal,barddhaman,713423,7,10
27,08-12-2025,west bengal,barddhaman,713426,2,8
28,08-12-2025,west bengal,barddhaman,713427,2,6
29,08-12-2025,west bengal,bardhaman,713130,1,3
30,08-12-2025,west bengal,bardhaman,713146,0,7
31,08-12-2025,west bengal,bardhaman,713147,0,2
32,08-12-2025,west bengal,bardhaman,713206,0,1
33,08-12-2025,west bengal,bardhaman,713325,0,4
34,08-12-2025,west bengal,bardhaman,713343,0,4
35,08-12-2025,west bengal,bardhaman,713346,0,1
36,08-12-2025,west bengal,bardhaman,713359,0,1
37,08-12-2025,west bengal,bardhaman,713363,0,3
38,08-12-2025,west bengal,bardhaman,713385,1,0
39,08-12-2025,west bengal,bardhaman,713426,0,1
40,08-12-2025,west bengal,darjiling,734423,0,1
41,08-12-2025,west bengal,darjiling,734426,0,1
42,08-12-2025,west bengal,east midnapore,721139,0,2
43,08-12-2025,west bengal,east midnapore,721401,1,5
44,08-12-2025,west bengal,east midnapore,721449,0,1
45,08-12-2025,west bengal,east midnapore,721455,0,1
46,08-12-2025,west bengal,east midnapore,721456,0,3
47,08-12-2025,west bengal,east midnapore,721458,3,7
48,08-12-2025,west bengal,east midnapore,721464,0,1
49,08-12-2025,west bengal,east midnapore,721656,0,2
50,08-12-2025,west bengal,east midnapore,721659,0,1
51,08-12-2025,west bengal,haora,711108,1,1
