,date,state,district,pincode,demo_age_5_17,demo_age_17_
0,16-12-2025,madhya pradesh,west nimar,451115,0,2
1,16-12-2025,maharashtra,ahmadnagar,413709,2,39
2,16-12-2025,maharashtra,ahmadnagar,413710,0,8
3,16-12-2025,maharashtra,ahmadnagar,413717,1,2
4,16-12-2025,maharashtra,ahmadnagar,413721,0,10
5,16-12-2025,maharashtra,ahmadnagar,414006,0,21
6,16-12-2025,maharashtra,ahmadnagar,414105,0,33
7,16-12-2025,maharashtra,ahmadnagar,414201,0,3
8,16-12-2025,maharashtra,ahmadnagar,414306,0,12
9,16-12-2025,maharashtra,ahmadnagar,414502,1,49
10,16-12-2025,maharashtra,ahmadnagar,422601,0,35
11,16-12-2025,maharashtra,ahmadnagar,422608,0,2
12,16-12-2025,maharashtra,ahmadnagar,422620,1,25
13,16-12-2025,maharashtra,ahmadnagar,422622,2,16
14,16-12-2025,maharashtra,ahmadnagar,423107,4,14
15,16-12-2025,maharashtra,ahmadnagar,423602,0,13
16,16-12-2025,maharashtra,ahmed nagar,413736,0,2
17,16-12-2025,maharashtra,aurangabad,423703,0,8
18,16-12-2025,maharashtra,aurangabad,431005,2,10
19,16-12-2025,maharashtra,aurangabad,431101,2,15
20,16-12-2025,maharashtra,aurangabad,431110,3,7
21,16-12-2025,maharashtra,aurangabad,431115,1,14
22,16-12-2025,maharashtra,aurangabad,431121,0,32
23,16-12-2025,maharashtra,aurangabad,431137,0,8
24,16-12-2025,maharashtra,aurangabad,431151,1,13
25,16-12-2025,maharashtra,bid,414203,0,2
26,16-12-2025,maharashtra,bid,431123,0,2
27,16-12-2025,maharashtra,bid,431127,0,2
28,16-12-2025,maharashtra,bid,431515,0,7
29,16-12-2025,maharashtra,bid,431518,0,1
30,16-12-2025,maharashtra,bid,431523,0,10
31,16-12-2025,maharashtra,buldana,443001,1,15
32,16-12-2025,maharashtra,buldana,443203,0,7
33,16-12-2025,maharashtra,chatrapati sambhaji nagar,431001,4,17
34,16-12-2025,maharashtra,gondiya *,441614,0,3
35,16-12-2025,uttar pradesh,bulandshahar,202392,0,1
36,16-12-2025,uttar pradesh,faizabad,224121,2,23
37,16-12-2025,uttar pradesh,faizabad,224132,0,6
38,16-12-2025,uttar pradesh,faizabad,224141,3,16
39,16-12-2025,uttar pradesh,faizabad,224172,1,7
40,16-12-2025,uttar pradesh,faizabad,224188,4,21
41,16-12-2025,uttar pradesh,faizabad,224202,1,15
42,16-12-2025,uttar pradesh,faizabad,225411,3,44
43,16-12-2025,uttar pradesh,jyotiba phule nagar,244222,0,6
44,16-12-2025,uttar pradesh,maharajganj,273157,4,55
45,16-12-2025,uttar pradesh,maharajganj,273163,6,62
46,16-12-2025,uttar pradesh,maharajganj,273165,1,22
47,16-12-2025,uttar pradesh,maharajganj,273302,6,47
48,16-12-2025,uttar pradesh,maharajganj,273303,13,98
49,16-12-2025,uttar pradesh,sant ravidas nagar,221303,3,41
50,16-12-2025,uttar pradesh,sant ravidas nagar,221306,0,18
51,16-12-2025,uttar pradesh,sant ravidas nagar,221404,11,49
52,16-12-2025,uttar pradesh,sant ravidas nagar,221409,1,11
53,16-12-2025,uttar pradesh,sant ravidas nagar bhadohi,221303,0,1
54,16-12-2025,uttarakhand,garhwal,246128,0,1
55,16-12-2025,uttarakhand,garhwal,246149,0,6
56,16-12-2025,uttarakhand,hardwar,247661,0,1
57,16-12-2025,uttarakhand,hardwar,249404,0,1
58,16-12-2025,uttarakhand,hardwar,249407,0,2
59,16-12-2025,west bengal,barddhaman,712410,2,5
60,16-12-2025,west bengal,barddhaman,712512,0,3
61,16-12-2025,west bengal,barddhaman,713101,1,54
62,16-12-2025,west bengal,barddhaman,713126,0,4
63,16-12-2025,west bengal,barddhaman,713154,0,1
64,16-12-2025,west bengal,barddhaman,713201,1,10
65,16-12-2025,west bengal,barddhaman,713202,0,6
66,16-12-2025,west bengal,barddhaman,713206,0,5
67,16-12-2025,west bengal,barddhaman,713208,0,1
68,16-12-2025,west bengal,barddhaman,713213,0,15
69,16-12-2025,west bengal,barddhaman,713214,0,3
70,16-12-2025,west bengal,barddhaman,713219,0,3
71,16-12-2025,west bengal,barddhaman,713323,0,6
72,16-12-2025,west bengal,barddhaman,713324,0,10
73,16-12-2025,west bengal,barddhaman,713334,0,10
74,16-12-2025,west bengal,barddhaman,713335,3,10
75,16-12-2025,west bengal,barddhaman,713340,0,6
76,16-12-2025,west bengal,barddhaman,713343,0,7
77,16-12-2025,west bengal,barddhaman,713346,2,4
78,16-12-2025,west bengal,barddhaman,713347,1,17
79,16-12-2025,west bengal,barddhaman,713359,0,12
80,16-12-2025,west bengal,barddhaman,713364,0,2
81,16-12-2025,west bengal,barddhaman,713367,0,2
82,16-12-2025,west bengal,barddhaman,713370,0,2
83,16-12-2025,west bengal,barddhaman,713405,2,21
84,16-12-2025,west bengal,barddhaman,713514,1,3
85,16-12-2025,west bengal,barddhaman,713517,0,2
86,16-12-2025,west bengal,barddhaman,731214,0,1
87,16-12-2025,west bengal,barddhaman,741319,0,1
88,16-12-2025,west bengal,bardhaman,713125,0,1
89,16-12-2025,west bengal,bardhaman,713146,0,9
90,16-12-2025,west bengal,bardhaman,713147,0,3
91,16-12-2025,west bengal,bardhaman,713301,0,1
92,16-12-2025,west bengal,bardhaman,713335,0,1
93,16-12-2025,west bengal,bardhaman,713360,0,4
94,16-12-2025,west bengal,bardhaman,713369,0,1
95,16-12-2025,west bengal,bardhaman,713381,0,3
96,16-12-2025,west bengal,bardhaman,713401,0,4
97,16-12-2025,west bengal,bardhaman,713426,0,3
98,16-12-2025,west bengal,bardhaman,713519,0,7
99,16-12-2025,west bengal,darjiling,734014,0,6
100,16-12-2025,west bengal,darjiling,734101,0,1
101,16-12-2025,west bengal,darjiling,734215,0,1
102,16-12-2025,west bengal,darjiling,734301,0,4
103,16-12-2025,west bengal,east midnapore,721420,0,2
104,16-12-2025,west bengal,east midnapore,721423,0,5
105,16-12-2025,west bengal,east midnapore,721427,0,5
106,16-12-2025,west bengal,east midnapore,721429,0,32
107,16-12-2025,west bengal,east midnapore,721433,0,3
108,16-12-2025,west bengal,east midnapore,721436,0,1
109,16-12-2025,west bengal,east midnapore,721439,0,7
110,16-12-2025,west bengal,east midnapore,721446,0,8
111,16-12-2025,west bengal,east midnapore,721634,0,2
112,16-12-2025,west bengal,east midnapore,721636,0,1
113,16-12-2025,west bengal,east midnapore,721655,0,3
114,16-12-2025,west bengal,east midnapore,721656,0,2
115,16-12-2025,west bengal,east midnapore,721659,0,1
116,16-12-2025,west bengal,haora,711101,1,25
117,16-12-2025,west bengal,haora,711106,0,18
118,16-12-2025,west bengal,haora,711109,1,6
119,16-12-2025,west bengal,haora,711112,0,6
120,16-12-2025,west bengal,haora,711113,0,4
121,16-12-2025,west bengal,haora,711204,0,5
122,16-12-2025,west bengal,haora,711205,0,2
123,16-12-2025,west bengal,haora,711303,1,32
124,16-12-2025,west bengal,haora,711405,0,2
125,16-12-2025,west bengal,haora,711409,0,3
126,16-12-2025,west bengal,haora,711412,0,7
127,16-12-2025,west bengal,hugli,712103,0,1
128,16-12-2025,west bengal,hugli,712201,0,1
129,16-12-2025,west bengal,hugli,712258,0,1
130,16-12-2025,west bengal,koch bihar,735224,0,3
131,16-12-2025,west bengal,koch bihar,735301,0,15
132,16-12-2025,west bengal,koch bihar,736118,0,2
133,16-12-2025,west bengal,koch bihar,736159,0,23
134,16-12-2025,west bengal,koch bihar,736168,1,8
135,16-12-2025,west bengal,koch bihar,736173,0,5
136,16-12-2025,west bengal,koch bihar,736175,0,1
137,16-12-2025,west bengal,maldah,732123,1,9
138,16-12-2025,west bengal,maldah,732127,0,5
139,16-12-2025,west bengal,maldah,732143,0,1
140,16-12-2025,west bengal,maldah,732150,0,4
141,16-12-2025,west bengal,maldah,732207,1,25
142,16-12-2025,west bengal,maldah,732213,0,1
143,16-12-2025,west bengal,medinipur,721153,0,1
144,16-12-2025,west bengal,north dinajpur,733128,0,4
145,16-12-2025,west bengal,north dinajpur,733209,0,2
146,16-12-2025,west bengal,north dinajpur,733215,0,1
147,16-12-2025,west bengal,north twenty four parganas,700058,0,1
148,16-12-2025,west bengal,north twenty four parganas,700059,0,2
149,16-12-2025,west bengal,north twenty four parganas,700120,0,3
150,16-12-2025,west bengal,north twenty four parganas,700129,0,13
151,16-12-2025,west bengal,north twenty four parganas,700131,0,2
152,16-12-2025,west bengal,north twenty four parganas,700132,0,2
153,16-12-2025,west bengal,north twenty four parganas,700135,0,7
154,16-12-2025,west bengal,north twenty four parganas,700157,0,2
155,16-12-2025,west bengal,north twenty four parganas,743193,0,1
156,16-12-2025,west bengal,north twenty four parganas,743249,0,4
157,16-12-2025,west bengal,north twenty four parganas,743329,0,2
158,16-12-2025,west bengal,north twenty four parganas,743425,1,2
159,16-12-2025,west bengal,puruliya,723126,5,28
160,16-12-2025,west bengal,puruliya,723128,7,27
161,16-12-2025,west bengal,puruliya,723143,4,34
162,16-12-2025,west bengal,puruliya,723148,1,15
163,16-12-2025,west bengal,puruliya,723155,4,15
164,16-12-2025,west bengal,puruliya,723156,0,10
165,16-12-2025,west bengal,puruliya,723158,0,1
166,16-12-2025,west bengal,puruliya,723163,0,1
167,16-12-2025,west bengal,puruliya,723202,18,125
168,16-12-2025,west bengal,south dinajpur,733126,0,6
169,16-12-2025,west bengal,south dinajpur,733145,0,1
170,16-12-2025,west bengal,south twenty four parganas,700008,0,13
171,16-12-2025,west bengal,south twenty four parganas,700063,0,7
172,16-12-2025,west bengal,south twenty four parganas,700082,0,1
173,16-12-2025,west bengal,south twenty four parganas,700140,0,3
174,16-12-2025,west bengal,south twenty four parganas,700151,0,1
175,16-12-2025,west bengal,south twenty four parganas,743318,0,13
176,16-12-2025,west bengal,south twenty four parganas,743383,0,15
177,16-12-2025,west bengal,south twenty four parganas,743613,0,1
178,16-12-2025,west bengal,west midnapore,721102,0,23
179,16-12-2025,west bengal,west midnapore,721135,0,3
180,16-12-2025,west bengal,west midnapore,721145,0,5
181,16-12-2025,west bengal,west midnapore,721260,0,1
182,16-12-2025,west bengal,west midnapore,721304,1,11
183,16-12-2025,west bengal,west midnapore,721451,0,5
184,16-12-2025,west bengal,west midnapore,721504,0,1
185,16-12-2025,maharashtra,mumbai city,400002,2,2
186,16-12-2025,maharashtra,mumbai city,400003,0,9
187,16-12-2025,maharashtra,mumbai city,400005,1,9
188,16-12-2025,maharashtra,mumbai city,400006,0,1
189,16-12-2025,maharashtra,mumbai city,400011,1,16
190,16-12-2025,maharashtra,mumbai city,400015,0,8
191,16-12-2025,maharashtra,mumbai city,400018,0,10
192,16-12-2025,maharashtra,mumbai city,400031,1,2
193,16-12-2025,maharashtra,mumbai city,400037,4,44
194,16-12-2025,maharashtra,mumbai( sub urban ),400043,0,1
195,16-12-2025,maharashtra,mumbai( sub urban ),400064,0,2
196,16-12-2025,maharashtra,mumbai( sub urban ),400074,0,1
197,16-12-2025,maharashtra,osmanabad,413405,0,16
198,16-12-2025,maharashtra,osmanabad,413525,0,19
199,16-12-2025,maharashtra,osmanabad,413601,4,48
200,16-12-2025,maharashtra,osmanabad,413602,2,25
201,16-12-2025,maharashtra,osmanabad,413606,5,55
202,16-12-2025,maharashtra,osmanabad,413607,0,1
203,16-12-2025,maharashtra,osmanabad,413623,2,9
204,16-12-2025,maharashtra,osmanabad,413624,0,8
205,16-12-2025,maharashtra,raigarh,402105,0,12
206,16-12-2025,maharashtra,raigarh,402106,0,12
207,16-12-2025,maharashtra,raigarh,402113,0,1
208,16-12-2025,maharashtra,raigarh,402114,0,2
209,16-12-2025,maharashtra,raigarh,402120,1,7
210,16-12-2025,maharashtra,raigarh,402303,0,12
211,16-12-2025,maharashtra,raigarh,402402,0,4
212,16-12-2025,maharashtra,raigarh,410205,2,24
213,16-12-2025,maharashtra,raigarh,410208,0,23
214,16-12-2025,manipur,bishnupur,795133,7,44
215,16-12-2025,manipur,bishnupur,795134,0,22
216,16-12-2025,manipur,churachandpur,795139,2,12
217,16-12-2025,manipur,imphal east,795002,13,122
218,16-12-2025,manipur,imphal east,795114,15,11
219,16-12-2025,manipur,imphal east,795149,15,72
220,16-12-2025,manipur,imphal west,795113,8,15
221,16-12-2025,manipur,imphal west,795134,0,29
222,16-12-2025,manipur,imphal west,795140,1,5
223,16-12-2025,manipur,imphal west,795146,6,19
224,16-12-2025,manipur,jiribam,795115,0,1
225,16-12-2025,manipur,senapati,795114,1,1
226,16-12-2025,manipur,senapati,795134,0,3
227,16-12-2025,manipur,senapati,795150,0,3
228,16-12-2025,manipur,thoubal,795101,1,7
229,16-12-2025,manipur,thoubal,795132,1,13
230,16-12-2025,manipur,thoubal,795135,0,3
231,16-12-2025,manipur,ukhrul,795149,1,3
232,16-12-2025,meghalaya,east garo hills,794110,0,4
233,16-12-2025,meghalaya,east khasi hills,793003,0,4
234,16-12-2025,meghalaya,east khasi hills,793108,0,11
235,16-12-2025,meghalaya,east khasi hills,793121,1,18
236,16-12-2025,meghalaya,north garo hills,794112,0,3
237,16-12-2025,meghalaya,south garo hills,794102,0,6
238,16-12-2025,meghalaya,south west garo hills,794105,0,17
239,16-12-2025,mizoram,mammit,796421,0,1
240,16-12-2025,mizoram,saiha,796891,0,1
241,16-12-2025,mizoram,saiha,796901,0,6
242,16-12-2025,nagaland,dimapur,797112,2,54
243,16-12-2025,nagaland,dimapur,797113,0,2
244,16-12-2025,nagaland,dimapur,797115,0,8
245,16-12-2025,nagaland,dimapur,797116,1,6
246,16-12-2025,nagaland,kohima,797105,0,1
247,16-12-2025,nagaland,longleng,798622,0,1
248,16-12-2025,nagaland,peren,797110,1,5
249,16-12-2025,nagaland,phek,797102,0,1
250,16-12-2025,nagaland,phek,797108,1,1
251,16-12-2025,nagaland,phek,797114,0,1
252,16-12-2025,odisha,baleshwar,756003,0,5
253,16-12-2025,odisha,baleshwar,756025,0,2
254,16-12-2025,odisha,baleshwar,756028,0,2
255,16-12-2025,odisha,baleshwar,756037,0,1
256,16-12-2025,odisha,baleshwar,756060,0,2
257,16-12-2025,odisha,baleshwar,756126,0,3
258,16-12-2025,odisha,baleshwar,756166,0,1
259,16-12-2025,odisha,baleshwar,757055,0,1
260,16-12-2025,odisha,baleswar,756019,3,11
261,16-12-2025,odisha,baleswar,756023,1,3
262,16-12-2025,odisha,baleswar,756034,0,3
263,16-12-2025,odisha,baleswar,756037,2,1
264,16-12-2025,odisha,baleswar,756042,0,3
265,16-12-2025,odisha,baleswar,756049,1,6
266,16-12-2025,odisha,baleswar,756083,1,2
267,16-12-2025,odisha,baleswar,756085,0,3
268,16-12-2025,odisha,baleswar,756134,1,6
269,16-12-2025,odisha,baudh,762016,0,7
270,16-12-2025,odisha,baudh,762030,0,2
271,16-12-2025,odisha,jagatsinghpur,754108,0,3
272,16-12-2025,odisha,jagatsinghpur,754134,0,1
273,16-12-2025,odisha,jagatsinghpur,754141,1,8
274,16-12-2025,odisha,jajapur,754205,0,1
275,16-12-2025,odisha,jajapur,754214,0,3
276,16-12-2025,odisha,jajapur,754296,0,1
277,16-12-2025,odisha,jajapur,755001,0,6
