,date,state,district,pincode,demo_age_5_17,demo_age_17_
0,16-12-2025,madhya pradesh,shajapur,465113,0,4
1,16-12-2025,madhya pradesh,shajapur,465226,2,14
2,16-12-2025,madhya pradesh,shajapur,465339,1,2
3,16-12-2025,madhya pradesh,shajapur,465447,1,19
4,16-12-2025,madhya pradesh,sheopur,476332,11,25
5,16-12-2025,madhya pradesh,sheopur,476335,8,34
6,16-12-2025,madhya pradesh,sheopur,476337,7,77
7,16-12-2025,madhya pradesh,sheopur,476339,8,53
8,16-12-2025,madhya pradesh,shivpuri,473585,3,17
9,16-12-2025,madhya pradesh,shivpuri,473670,8,39
10,16-12-2025,madhya pradesh,shivpuri,473770,5,35
11,16-12-2025,madhya pradesh,shivpuri,473781,1,48
12,16-12-2025,madhya pradesh,shivpuri,473885,1,29
13,16-12-2025,madhya pradesh,shivpuri,475110,0,3
14,16-12-2025,madhya pradesh,singrauli,486881,8,39
15,16-12-2025,madhya pradesh,singrauli,486892,6,33
16,16-12-2025,madhya pradesh,tikamgarh,472111,13,43
17,16-12-2025,madhya pradesh,tikamgarh,472115,2,27
18,16-12-2025,madhya pradesh,tikamgarh,472446,1,3
19,16-12-2025,madhya pradesh,tikamgarh,472447,0,7
20,16-12-2025,madhya pradesh,ujjain,456001,4,38
21,16-12-2025,madhya pradesh,ujjain,456331,0,6
22,16-12-2025,madhya pradesh,ujjain,456550,2,22
23,16-12-2025,madhya pradesh,ujjain,456771,4,12
24,16-12-2025,madhya pradesh,umaria,484001,0,8
25,16-12-2025,madhya pradesh,umaria,484555,0,26
26,16-12-2025,madhya pradesh,vidisha,464001,7,40
27,16-12-2025,madhya pradesh,vidisha,464114,8,34
28,16-12-2025,madhya pradesh,vidisha,464221,10,47
29,16-12-2025,madhya pradesh,vidisha,464224,8,13
30,16-12-2025,madhya pradesh,vidisha,464258,1,3
31,16-12-2025,maharashtra,ahilyanagar,413714,0,1
32,16-12-2025,maharashtra,ahilyanagar,414005,2,1
