,date,state,district,pincode,age_0_5,age_5_17,age_18_greater
0,31-12-2025,karnataka,bidar,585330,2,3,0
1,31-12-2025,karnataka,bidar,585402,6,0,0
2,31-12-2025,karnataka,bidar,585413,1,0,0
3,31-12-2025,karnataka,bidar,585418,1,2,0
4,31-12-2025,karnataka,bidar,585421,4,3,0
5,31-12-2025,karnataka,bidar,585437,2,2,0
6,31-12-2025,karnataka,bidar,585443,1,3,0
7,31-12-2025,karnataka,chikkamagaluru,577128,1,0,0
8,31-12-2025,karnataka,chitradurga,577519,1,0,0
9,31-12-2025,karnataka,chitradurga,577522,11,4,0
10,31-12-2025,karnataka,chitradurga,577527,3,0,1
11,31-12-2025,karnataka,chitradurga,577532,2,0,0
12,31-12-2025,karnataka,chitradurga,577536,6,2,0
13,31-12-2025,karnataka,chitradurga,577540,4,1,0
14,31-12-2025,karnataka,chitradurga,577543,2,0,0
15,31-12-2025,karnataka,chitradurga,577597,1,0,1
16,31-12-2025,karnataka,dakshina kannada,574142,1,1,0
17,31-12-2025,karnataka,dakshina kannada,574150,1,0,0
18,31-12-2025,karnataka,dakshina kannada,574199,3,0,0
19,31-12-2025,karnataka,dakshina kannada,574214,2,0,0
20,31-12-2025,karnataka,dakshina kannada,574228,1,0,0
21,31-12-2025,karnataka,dakshina kannada,574241,2,3,0
22,31-12-2025,karnataka,dakshina kannada,574259,1,0,0
23,31-12-2025,karnataka,dakshina kannada,575008,1,0,0
24,31-12-2025,karnataka,dakshina kannada,575014,2,0,0
25,31-12-2025,karnataka,dakshina kannada,575022,3,0,0
26,31-12-2025,karnataka,dakshina kannada,575028,1,0,0
27,31-12-2025,karnataka,dakshina kannada,575030,9,0,0
28,31-12-2025,karnataka,davanagere,577001,1,1,0
29,31-12-2025,karnataka,davanagere,577002,2,0,0
30,31-12-2025,karnataka,davanagere,577004,4,0,0
31,31-12-2025,karnataka,davanagere,577006,0,1,0
32,31-12-2025,karnataka,dharwad,580008,1,0,0
33,31-12-2025,karnataka,dharwad,580026,1,0,0
34,31-12-2025,karnataka,dharwad,580028,6,1,0
35,31-12-2025,karnataka,dharwad,580030,2,2,0
36,31-12-2025,karnataka,dharwad,580031,3,2,0
37,31-12-2025,karnataka,dharwad,580118,1,0,0
38,31-12-2025,karnataka,dharwad,581107,2,1,0
39,31-12-2025,karnataka,dharwad,581201,2,0,0
40,31-12-2025,karnataka,dharwad,581212,3,0,0
41,31-12-2025,karnataka,gadag,582101,4,2,0
42,31-12-2025,karnataka,gadag,582205,14,0,0
43,31-12-2025,karnataka,gadag,582207,9,3,0
44,31-12-2025,karnataka,hassan,573102,3,0,0
45,31-12-2025,karnataka,hassan,573118,1,0,0
46,31-12-2025,karnataka,hassan,573122,1,0,0
47,31-12-2025,karnataka,hassan,573127,2,0,0
48,31-12-2025,karnataka,hassan,573134,0,3,0
49,31-12-2025,karnataka,hassan,573136,2,0,0
50,31-12-2025,karnataka,hassan,573202,2,0,0
51,31-12-2025,karnataka,hassan,573225,0,1,0
52,31-12-2025,karnataka,haveri,581101,1,0,0
53,31-12-2025,karnataka,haveri,581102,2,0,0
54,31-12-2025,karnataka,haveri,581104,10,1,0
55,31-12-2025,karnataka,haveri,581106,5,0,0
56,31-12-2025,karnataka,haveri,581108,1,1,0
57,31-12-2025,karnataka,haveri,581110,5,0,0
58,31-12-2025,karnataka,haveri,581119,2,1,0
59,31-12-2025,karnataka,haveri,581208,4,0,0
60,31-12-2025,karnataka,kalaburagi,585101,1,1,0
61,31-12-2025,karnataka,kalaburagi,585105,2,0,0
62,31-12-2025,karnataka,kalaburagi,585210,1,0,0
63,31-12-2025,karnataka,kalaburagi,585217,1,1,0
64,31-12-2025,karnataka,kalaburagi,585222,3,2,0
