date,state,district,pincode,bio_age_5_17,bio_age_17_,match
01-03-2025,uttar pradesh,bara banki,225408,17,3,False
01-03-2025,bihar,saharsa,852210,58,118,False
01-03-2025,bihar,patna,800018,21,20,False
01-03-2025,west bengal,uttar dinajpur,733252,13,14,False
01-03-2025,uttar pradesh,unnao,241501,1265,369,False
01-03-2025,uttar pradesh,budaun,202524,261,117,False
01-03-2025,assam,goalpara,783121,26,28,False
01-03-2025,gujarat,mahisagar,389240,215,165,False
01-03-2025,west bengal,hooghly,712424,24,26,False
01-03-2025,gujarat,amreli,365660,24,93,False
01-03-2025,karnataka,vijayapura,586102,62,38,False
01-03-2025,karnataka,vijayapura,586245,99,41,False
01-03-2025,chhattisgarh,kondagaon,494230,17,175,False
01-03-2025,uttar pradesh,bara banki,227301,817,370,False
01-03-2025,puducherry,karaikal,609603,22,47,False
01-03-2025,uttar pradesh,budaun,202521,77,26,False
01-03-2025,gujarat,rajkot,364485,45,35,False
01-03-2025,uttar pradesh,unnao,229881,419,159,False
01-03-2025,madhya pradesh,chhindwara,480554,33,53,False
01-03-2025,andhra pradesh,east godavari,507129,177,274,False
01-03-2025,rajasthan,sirohi,307042,14,17,False
01-03-2025,uttar pradesh,azamgarh,276401,44,7,False
01-03-2025,uttar pradesh,unnao,229502,36,53,False
01-03-2025,west bengal,murshidabad,742229,20,11,False
01-03-2025,uttar pradesh,budaun,243621,10,25,False
01-03-2025,gujarat,kachchh,370240,236,142,False
01-03-2025,gujarat,valsad,396230,67,111,False
01-03-2025,west bengal,uttar dinajpur,733213,20,53,False
01-03-2025,chhattisgarh,dakshin bastar dantewada,494552,34,91,False
01-03-2025,gujarat,mahesana,382870,234,314,False
01-03-2025,mizoram,aizawl,796005,1257,399,False
01-03-2025,gujarat,mahesana,382715,489,605,False
01-03-2025,madhya pradesh,tikamgarh,472446,154,268,False
01-03-2025,bihar,jehanabad,804434,52,64,False
01-03-2025,west bengal,hooghly,712411,20,24,False
01-03-2025,bihar,banka,813127,21,15,False
01-03-2025,gujarat,mahesana,382165,71,99,False
01-03-2025,madhya pradesh,bhopal,462420,217,292,False
01-03-2025,west bengal,south 24 parganas,743601,19,15,False
01-03-2025,west bengal,uttar dinajpur,733211,35,42,False
01-03-2025,maharashtra,kolhapur,416117,20,51,False
01-03-2025,west bengal,jalpaiguri,735138,10,14,False
01-03-2025,west bengal,bankura,722169,13,6,False
01-03-2025,uttar pradesh,unnao,209506,103,99,False
01-03-2025,jharkhand,latehar,822127,14,6,False
01-03-2025,uttar pradesh,bulandshahr,245401,218,57,False
01-03-2025,punjab,jalandhar,144013,90,151,False
01-03-2025,telangana,suryapet,508222,11,24,False
01-03-2025,uttar pradesh,bulandshahr,245411,206,87,False
01-03-2025,gujarat,mahesana,382815,11,34,False
01-03-2025,jharkhand,simdega,835201,511,1039,False
01-03-2025,madhya pradesh,bhopal,462021,35,83,False
01-03-2025,madhya pradesh,shajapur,465440,190,195,False
01-03-2025,punjab,jalandhar,144012,77,207,False
01-03-2025,uttar pradesh,basti,272170,278,187,False
01-03-2025,west bengal,paschim medinipur,721518,13,29,False
01-03-2025,uttar pradesh,bulandshahr,245403,405,88,False
01-03-2025,madhya pradesh,raisen,464776,83,128,False
01-03-2025,chhattisgarh,narayanpur,494661,504,1544,False
01-03-2025,chhattisgarh,bilaspur,495223,41,101,False
01-03-2025,bihar,banka,813119,53,52,False
01-03-2025,andhra pradesh,east godavari,507121,86,74,False
01-03-2025,gujarat,mahesana,382830,101,91,False
01-03-2025,maharashtra,jalgaon,424116,216,356,False
01-03-2025,dadra and nagar haveli and daman and diu,daman,396210,20,53,False
01-03-2025,west bengal,jalpaiguri,735306,14,5,False
01-03-2025,himachal pradesh,mandi,174401,135,266,False
01-03-2025,uttar pradesh,budaun,202523,491,99,False
01-03-2025,gujarat,rajkot,364465,50,33,False
01-03-2025,west bengal,uttar dinajpur,733214,23,27,False
01-03-2025,uttar pradesh,baghpat,250645,434,122,False
01-03-2025,chhattisgarh,bijapur,494441,55,19,False
01-03-2025,andhra pradesh,krishna,521225,74,77,False
01-03-2025,uttarakhand,haridwar,247662,102,158,False
01-03-2025,west bengal,murshidabad,742232,11,24,False
01-03-2025,bihar,patna,801502,59,72,False
01-03-2025,madhya pradesh,gwalior,474005,162,156,False
01-03-2025,maharashtra,pune,412114,277,444,False
01-03-2025,punjab,jalandhar,144004,387,575,False
01-03-2025,uttar pradesh,jaunpur,223106,15,21,False
01-03-2025,bihar,bhagalpur,813223,121,86,False
01-03-2025,gujarat,navsari,396424,28,53,False
01-03-2025,bihar,patna,801118,16,40,False
01-03-2025,andhra pradesh,alluri sitharama raju,507111,16,21,False
01-03-2025,gujarat,vadodara,391346,11,12,False
01-03-2025,maharashtra,palghar,401610,102,99,False
01-03-2025,west bengal,bankura,722182,18,13,False
01-03-2025,uttar pradesh,saharanpur,247769,164,68,False
01-03-2025,bihar,banka,813118,67,165,False
01-03-2025,west bengal,malda,732212,20,40,False
01-03-2025,uttar pradesh,jaunpur,222108,34,21,False
01-03-2025,west bengal,hooghly,712247,38,47,False
01-03-2025,andhra pradesh,alluri sitharama raju,507129,28,27,False
01-03-2025,tamil nadu,coimbatore,642124,15,19,False
01-03-2025,gujarat,mahesana,384210,201,224,False
01-03-2025,uttar pradesh,sambhal,202411,148,47,False
01-03-2025,bihar,patna,803206,26,48,False
01-03-2025,uttar pradesh,bara banki,227302,325,137,False
01-03-2025,dadra and nagar haveli and daman and diu,diu,362540,101,26,False
01-03-2025,uttar pradesh,bulandshahr,202394,661,223,False
01-03-2025,uttar pradesh,unnao,229501,113,92,False
01-03-2025,maharashtra,jalgaon,424209,121,276,False
01-03-2025,chhattisgarh,bijapur,494447,236,643,False
01-03-2025,uttar pradesh,bara banki,227131,470,250,False
01-03-2025,bihar,muzaffarpur,843133,10,10,False
01-03-2025,west bengal,murshidabad,742177,20,36,False
01-03-2025,chhattisgarh,raipur,492011,39,112,False
01-03-2025,tamil nadu,karur,639003,132,112,False
01-03-2025,jharkhand,gumla,835201,67,142,False
01-03-2025,chhattisgarh,korba,495453,60,77,False
01-03-2025,andhra pradesh,west godavari,507114,169,117,False
01-03-2025,uttar pradesh,unnao,241504,1408,569,False
01-03-2025,uttar pradesh,sambhal,202523,120,21,False
01-03-2025,west bengal,darjeeling,734227,11,13,False
01-03-2025,west bengal,murshidabad,742171,50,92,False
01-03-2025,himachal pradesh,mandi,174402,11,40,False
01-03-2025,uttarakhand,haridwar,246763,54,89,False
01-03-2025,gujarat,amreli,365665,12,19,False
01-03-2025,bihar,begusarai,851122,90,141,False
01-03-2025,west bengal,paschim medinipur,721466,14,16,False
01-03-2025,west bengal,hooghly,712420,11,15,False
01-03-2025,uttar pradesh,sambhal,202522,438,108,False
01-03-2025,uttar pradesh,moradabad,202411,1064,268,False
01-03-2025,chhattisgarh,uttar bastar kanker,494230,10,46,False
01-03-2025,uttar pradesh,fatehpur,212660,62,24,False
01-03-2025,chhattisgarh,bijapur,494444,635,585,False
01-03-2025,uttar pradesh,bulandshahr,202389,195,69,False
01-03-2025,punjab,amritsar,143003,10,37,False
01-03-2025,uttar pradesh,sambhal,202421,1783,177,False
01-03-2025,bihar,muzaffarpur,843144,23,49,False
01-03-2025,uttar pradesh,mau,121705,215,95,False
01-03-2025,madhya pradesh,jabalpur,482007,43,66,False
01-03-2025,gujarat,junagadh,362266,10,123,False
01-03-2025,bihar,bhagalpur,813225,109,66,False
01-03-2025,west bengal,bankura,722171,11,12,False
01-03-2025,dadra and nagar haveli and daman and diu,dadra and nagar haveli,396193,39,71,False
01-03-2025,west bengal,bankura,722175,20,35,False
01-03-2025,bihar,banka,813224,65,68,False
01-03-2025,tamil nadu,viluppuram,605102,21,63,False
01-03-2025,bihar,banka,813121,18,43,False
01-03-2025,odisha,sambalpur,768026,12,19,False
01-03-2025,punjab,amritsar,143104,23,29,False
01-03-2025,puducherry,puducherry,605501,24,32,False
01-03-2025,west bengal,murshidabad,742188,26,51,False
01-03-2025,uttar pradesh,fatehpur,212662,55,48,False
01-03-2025,gujarat,surat,394360,18,11,False
01-03-2025,tamil nadu,the nilgiris,643104,29,47,False
01-03-2025,madhya pradesh,tikamgarh,472338,739,383,False
01-03-2025,puducherry,puducherry,605106,32,22,False
01-03-2025,punjab,ludhiana,141124,45,81,False
01-03-2025,bihar,banka,813125,38,20,False
01-03-2025,gujarat,gir somnath,362725,79,49,False
01-03-2025,himachal pradesh,mandi,176122,59,103,False
01-03-2025,gujarat,junagadh,362725,28,114,False
01-03-2025,dadra and nagar haveli and daman and diu,daman,396220,68,36,False
01-03-2025,bihar,muzaffarpur,843153,31,49,False
01-03-2025,uttar pradesh,unnao,229841,325,128,False
01-03-2025,west bengal,murshidabad,742180,15,32,False
01-03-2025,rajasthan,jaipur,302011,19,61,False
01-03-2025,uttar pradesh,lucknow,227116,378,104,False
01-03-2025,uttarakhand,nainital,263002,61,131,False
