date,state,district,pincode,demo_age_5_17,demo_age_17_,match
01-03-2025,tamil nadu,kancheepuram,603202,42,700,False
01-03-2025,uttar pradesh,saharanpur,247670,10,105,False
01-03-2025,gujarat,chhotaudepur,391155,26,69,False
01-03-2025,chandigarh,chandigarh,160103,12,78,False
01-03-2025,gujarat,mahesana,384212,27,151,False
01-03-2025,chandigarh,chandigarh,160003,31,149,False
01-03-2025,mizoram,aizawl,796036,11,118,False
01-03-2025,punjab,ludhiana,141017,10,133,False
01-03-2025,madhya pradesh,chhatarpur,471202,22,71,False
01-03-2025,himachal pradesh,sirmaur,173022,86,284,False
01-03-2025,uttar pradesh,moradabad,202414,19,232,False
01-03-2025,andhra pradesh,ananthapuramu,515767,26,77,False
01-03-2025,uttar pradesh,prayagraj,228411,14,129,False
01-03-2025,uttar pradesh,firozabad,215126,46,629,False
01-03-2025,gujarat,botad,363415,12,12,False
01-03-2025,uttar pradesh,moradabad,202413,66,895,False
01-03-2025,dadra and nagar haveli and daman and diu,daman,396210,18,186,False
01-03-2025,himachal pradesh,mandi,171304,18,132,False
01-03-2025,rajasthan,pratapgarh,313605,136,3767,False
01-03-2025,tamil nadu,chennai,600029,22,256,False
01-03-2025,madhya pradesh,niwari,472338,14,91,False
01-03-2025,gujarat,mahesana,384215,12,66,False
01-03-2025,madhya pradesh,shajapur,465331,12,58,False
01-03-2025,uttar pradesh,firozabad,205135,72,1090,False
01-03-2025,chhattisgarh,bastar,494005,45,302,False
01-03-2025,rajasthan,banswara,327608,10,675,False
01-03-2025,uttar pradesh,bulandshahr,202395,98,992,False
01-05-2025,puducherry,puducherry,605110,86,367,False
01-06-2025,andhra pradesh,alluri sitharama raju,507129,29,138,False
01-03-2025,uttar pradesh,bulandshahr,245405,98,794,False
01-03-2025,karnataka,shivamogga,577447,17,38,False
01-03-2025,madhya pradesh,panna,488058,82,1185,False
01-03-2025,gujarat,ahmedabad,382440,157,1018,False
01-03-2025,bihar,begusarai,851225,13,111,False
01-03-2025,bihar,jamui,811315,69,673,False
01-03-2025,uttar pradesh,sambhal,202412,104,1715,False
01-03-2025,bihar,patna,800111,56,638,False
01-03-2025,west bengal,south 24 parganas,743507,11,191,False
01-03-2025,gujarat,gandhinagar,382024,26,125,False
01-03-2025,bihar,aurangabad,824218,15,108,False
01-03-2025,tamil nadu,kallakurichi,606107,28,123,False
01-03-2025,uttar pradesh,bulandshahr,202390,97,1165,False
