date,state,district,pincode,age_0_5,age_5_17,age_18_greater
09-03-2025,uttar pradesh,mahrajganj,273164,31,70,13
09-03-2025,west bengal,uttar dinajpur,733129,26,18,27
15-03-2025,uttar pradesh,mahrajganj,273164,12,55,12
20-03-2025,tamil nadu,kancheepuram,600069,12,12,10
27-03-2025,uttar pradesh,mahrajganj,273164,11,56,22
01-04-2025,madhya pradesh,ashoknagar,473335,125,29,22
01-04-2025,uttar pradesh,mahrajganj,273305,141,176,13
01-04-2025,madhya pradesh,ashoknagar,473443,141,57,15
01-04-2025,rajasthan,jalore,343049,54,27,14
01-04-2025,gujarat,banas kantha,385555,38,18,25
01-04-2025,gujarat,banas kantha,385530,24,33,22
01-04-2025,rajasthan,jalore,343040,98,88,11
01-04-2025,assam,south salmara mancachar,783135,102,43,12
01-04-2025,rajasthan,jalore,343001,189,63,11
01-04-2025,rajasthan,jalore,343041,278,251,13
01-04-2025,gujarat,banas kantha,385320,91,59,94
01-04-2025,gujarat,banas kantha,385545,75,83,61
01-04-2025,assam,sivasagar,785685,60,20,164
01-04-2025,assam,sivasagar,785686,31,16,55
01-04-2025,madhya pradesh,ashoknagar,473446,76,53,13
01-04-2025,gujarat,banas kantha,385575,83,50,67
01-04-2025,gujarat,banas kantha,385110,101,186,52
01-04-2025,gujarat,banas kantha,385001,204,64,75
01-04-2025,uttar pradesh,mahrajganj,273164,385,306,33
01-04-2025,assam,sivasagar,785640,77,30,45
01-04-2025,rajasthan,jalore,343029,207,84,41
01-04-2025,gujarat,banas kantha,385535,367,253,120
01-04-2025,gujarat,banas kantha,385540,24,14,12
01-04-2025,gujarat,banas kantha,385565,119,84,96
01-04-2025,assam,sivasagar,785697,52,17,12
01-04-2025,uttar pradesh,mahrajganj,273303,159,311,22
01-04-2025,gujarat,banas kantha,385120,161,180,58
01-04-2025,gujarat,banas kantha,385505,32,13,13
01-04-2025,gujarat,banas kantha,385135,35,31,22
01-04-2025,rajasthan,jalore,307029,114,44,13
01-04-2025,uttar pradesh,mahrajganj,273304,188,184,11
01-04-2025,assam,south salmara mancachar,783131,74,59,18
01-04-2025,rajasthan,jalore,343030,116,34,11
01-04-2025,rajasthan,jalore,343032,130,81,10
01-04-2025,gujarat,banas kantha,385550,96,67,37
