date,state,district,pincode,age_0_5,age_5_17,age_18_greater,match
27-03-2025,chhattisgarh,bijapur,494444,43,15,42,False
27-03-2025,chhattisgarh,bijapur,494447,23,16,21,False
01-04-2025,chhattisgarh,bijapur,494447,83,66,66,False
01-04-2025,gujarat,surat,394230,66,25,25,False
01-04-2025,punjab,amritsar,143110,71,23,14,False
01-04-2025,chhattisgarh,bijapur,494444,314,69,60,False
01-04-2025,gujarat,gir somnath,362725,60,12,11,False
01-04-2025,gujarat,amreli,365565,49,10,15,False
01-04-2025,gujarat,mahesana,382870,68,12,10,False
01-04-2025,gujarat,arvalli,383350,68,18,11,False
01-05-2025,chhattisgarh,bijapur,494447,87,103,48,False
01-05-2025,chhattisgarh,bijapur,494444,188,77,107,False
01-05-2025,assam,dhemaji,786110,18,21,19,False
01-05-2025,bihar,patna,800111,19,70,11,False
01-06-2025,karnataka,bengaluru urban,560098,52,18,19,False
01-06-2025,bihar,pashchim champaran,845450,88,262,10,False
01-06-2025,chhattisgarh,bijapur,494444,169,174,98,False
01-06-2025,bihar,nalanda,805130,86,343,21,False
01-06-2025,madhya pradesh,alirajpur,457893,50,126,11,False
01-06-2025,chhattisgarh,bijapur,494447,36,80,75,False
01-07-2025,jharkhand,gumla,835324,184,111,11,False
01-07-2025,uttar pradesh,rampur,243701,423,369,11,False
01-07-2025,assam,dhemaji,786110,233,62,12,False
01-07-2025,bihar,nalanda,805130,156,650,25,False
01-07-2025,uttar pradesh,mainpuri,206301,124,294,11,False
01-07-2025,chhattisgarh,bijapur,494444,656,238,184,False
01-07-2025,gujarat,ahmedabad,382440,144,273,17,False
01-07-2025,haryana,gurugram,122004,150,42,10,False
01-07-2025,gujarat,mahesana,382715,282,96,21,False
01-07-2025,gujarat,ahmedabad,387810,253,116,19,False
01-07-2025,karnataka,bengaluru urban,560046,54,25,10,False
01-07-2025,chhattisgarh,bijapur,494447,146,108,59,False
01-07-2025,uttar pradesh,unnao,241503,339,354,10,False
01-07-2025,madhya pradesh,gwalior,474005,136,97,10,False
01-07-2025,bihar,pashchim champaran,845450,148,338,12,False
01-07-2025,bihar,nawada,805104,111,506,20,False
01-07-2025,jharkhand,east singhbhum,832110,180,100,13,False
01-09-2025,bihar,bhagalpur,813113,1,1,0,False
01-09-2025,bihar,bhagalpur,813231,0,1,0,False
01-09-2025,bihar,jamui,811315,2,9,0,False
01-09-2025,bihar,jehanabad,804433,0,1,0,False
01-09-2025,bihar,nalanda,805130,2,0,0,False
01-09-2025,bihar,patna,800111,0,1,0,False
01-09-2025,bihar,samastipur,848118,1,0,0,False
01-09-2025,bihar,saran,841247,1,0,0,False
01-09-2025,chhattisgarh,kondagaon,494230,1,0,0,False
01-09-2025,chhattisgarh,sukma,494115,3,0,0,False
01-09-2025,dadra and nagar haveli and daman and diu,dadra and nagar haveli,396230,0,1,0,False
01-09-2025,gujarat,kachchh,370240,11,1,0,False
01-09-2025,gujarat,kachchh,370602,0,1,0,False
01-09-2025,gujarat,kachchh,370640,2,0,0,False
01-09-2025,gujarat,mahesana,382715,6,0,0,False
01-09-2025,gujarat,mahesana,382840,1,1,0,False
01-09-2025,gujarat,mahisagar,389240,3,0,0,False
01-09-2025,gujarat,surat,394230,12,2,0,False
01-09-2025,gujarat,valsad,396230,0,0,1,False
01-09-2025,gujarat,valsad,396235,1,0,0,False
01-09-2025,jammu and kashmir,anantnag,192102,1,0,0,False
01-09-2025,jammu and kashmir,samba,184120,1,0,0,False
01-09-2025,jharkhand,ramgarh,825314,3,2,0,False
01-09-2025,karnataka,koppal,584121,0,1,0,False
01-09-2025,kerala,kozhikode,673019,3,0,0,False
01-09-2025,madhya pradesh,indore,453332,1,0,0,False
01-09-2025,madhya pradesh,sagar,470111,1,0,0,False
01-09-2025,madhya pradesh,shajapur,465331,1,1,0,False
01-09-2025,maharashtra,jalgaon,424209,1,0,0,False
01-09-2025,maharashtra,nagpur,440009,3,0,0,False
01-09-2025,maharashtra,pune,412114,2,1,0,False
01-09-2025,andhra pradesh,east godavari,507129,1,0,0,False
01-09-2025,andhra pradesh,east godavari,507135,2,0,0,False
01-09-2025,puducherry,karaikal,609603,1,0,0,False
01-09-2025,puducherry,yanam,533464,1,0,0,False
01-09-2025,rajasthan,jaipur,302023,0,1,0,False
01-09-2025,rajasthan,jaipur,303802,0,1,0,False
01-09-2025,rajasthan,pratapgarh,313605,8,3,0,False
01-09-2025,rajasthan,udaipur,313015,0,1,0,False
01-09-2025,rajasthan,udaipur,313025,0,1,0,False
01-09-2025,tamil nadu,chengalpattu,603202,1,0,0,False
01-09-2025,tamil nadu,chennai,600029,1,0,0,False
01-09-2025,tamil nadu,kancheepuram,603202,3,0,0,False
01-09-2025,tamil nadu,pudukkottai,622408,1,0,0,False
01-09-2025,tamil nadu,tirunelveli,627810,1,0,0,False
01-09-2025,tamil nadu,viluppuram,605502,1,0,0,False
01-09-2025,telangana,hyderabad,500095,1,0,0,False
01-09-2025,uttar pradesh,bara banki,227302,0,1,0,False
01-09-2025,uttar pradesh,budaun,243621,1,3,0,False
01-09-2025,uttar pradesh,bulandshahr,202394,0,6,0,False
01-09-2025,uttar pradesh,bulandshahr,202395,4,7,0,False
01-09-2025,uttar pradesh,farrukhabad,206451,0,3,0,False
01-09-2025,uttar pradesh,fatehpur,212623,0,1,0,False
01-09-2025,uttar pradesh,fatehpur,212662,1,1,0,False
01-09-2025,uttar pradesh,fatehpur,212666,2,8,0,False
01-09-2025,uttar pradesh,firozabad,205145,3,6,0,False
01-09-2025,uttar pradesh,firozabad,205147,1,4,0,False
01-09-2025,uttar pradesh,firozabad,205152,1,0,0,False
01-09-2025,uttar pradesh,lucknow,227205,3,3,0,False
01-09-2025,uttar pradesh,mainpuri,206303,3,5,0,False
01-09-2025,uttar pradesh,mau,121705,7,5,0,False
01-09-2025,uttar pradesh,moradabad,202413,2,1,0,False
01-09-2025,uttar pradesh,rampur,243701,1,7,0,False
01-09-2025,uttar pradesh,sambhal,202410,1,2,0,False
01-09-2025,uttar pradesh,sant kabir nagar,272170,11,8,0,False
01-09-2025,uttar pradesh,unnao,229501,1,1,0,False
01-09-2025,uttar pradesh,unnao,229502,4,1,0,False
01-09-2025,uttar pradesh,varanasi,221210,0,1,0,False
01-09-2025,uttarakhand,dehradun,248141,1,0,0,False
01-09-2025,west bengal,bankura,722145,2,0,0,False
01-09-2025,west bengal,cooch behar,736132,1,0,0,False
01-09-2025,west bengal,cooch behar,736180,1,0,0,False
01-09-2025,west bengal,hooghly,712429,1,1,0,False
01-09-2025,west bengal,malda,732211,1,0,0,False
01-09-2025,west bengal,murshidabad,742157,11,2,0,False
01-09-2025,west bengal,murshidabad,742171,7,0,0,False
01-09-2025,west bengal,south 24 parganas,743392,0,1,0,False
01-09-2025,west bengal,south 24 parganas,743606,1,0,0,False
01-09-2025,andhra pradesh,kurnool,518319,3,0,0,False
01-09-2025,bihar,banka,813116,0,1,0,False
01-09-2025,bihar,begusarai,851119,0,2,0,False
01-09-2025,bihar,jehanabad,804454,0,2,0,False
01-09-2025,bihar,lakhisarai,811315,6,5,0,False
01-09-2025,bihar,madhepura,852210,9,17,0,False
01-09-2025,bihar,munger,813321,2,15,0,False
01-09-2025,bihar,muzaffarpur,843165,0,4,0,False
01-09-2025,bihar,nalanda,803204,0,3,0,False
01-09-2025,bihar,nawada,805133,0,1,0,False
01-09-2025,bihar,patna,804454,1,4,0,False
01-09-2025,bihar,saharsa,852210,1,0,0,False
01-09-2025,bihar,sheikhpura,811315,1,0,0,False
01-09-2025,chhattisgarh,bastar,494115,0,1,0,False
01-09-2025,chhattisgarh,bijapur,494447,3,1,1,False
01-09-2025,chhattisgarh,narayanpur,494661,7,8,0,False
01-09-2025,gujarat,amreli,365565,1,2,1,False
01-09-2025,gujarat,mahesana,382710,1,0,1,False
01-09-2025,gujarat,surat,394220,0,1,0,False
01-09-2025,gujarat,vadodara,390008,0,1,0,False
01-09-2025,himachal pradesh,mandi,176121,1,0,0,False
01-09-2025,jammu and kashmir,jammu,184120,2,0,0,False
01-09-2025,karnataka,dakshina kannada,575027,1,0,0,False
01-09-2025,karnataka,vijayapura,586245,0,2,0,False
01-09-2025,madhya pradesh,panna,488058,3,3,0,False
01-09-2025,madhya pradesh,tikamgarh,472338,11,4,0,False
01-09-2025,maharashtra,thane,401206,0,1,0,False
01-09-2025,mizoram,lawngtlai,796772,1,0,0,False
01-09-2025,mizoram,lawngtlai,796810,0,0,3,False
01-09-2025,telangana,mancherial,504215,1,0,0,False
01-09-2025,telangana,nizamabad,503188,3,0,0,False
01-09-2025,uttar pradesh,bulandshahr,202397,3,4,0,False
01-09-2025,uttar pradesh,bulandshahr,245408,5,5,0,False
01-09-2025,uttar pradesh,bulandshahr,245411,4,5,0,False
01-09-2025,uttar pradesh,farrukhabad,207501,3,0,0,False
01-09-2025,uttar pradesh,fatehpur,212660,1,1,0,False
01-09-2025,uttar pradesh,jaunpur,222110,0,1,0,False
01-09-2025,uttar pradesh,lucknow,227308,7,4,0,False
