date,state,district,pincode,bio_age_5_17,bio_age_17_
01-03-2025,gujarat,sabar kantha,383440,56,91
01-03-2025,nagaland,mokokchung,798613,18,70
01-03-2025,nagaland,dimapur,797103,155,381
01-03-2025,nagaland,phek,797108,29,112
01-03-2025,madhya pradesh,khargone (west nimar),451442,335,427
01-03-2025,gujarat,panch mahals,389220,79,423
01-03-2025,nagaland,mon,798622,27,130
01-03-2025,andhra pradesh,y.s.r. kadapa,516193,17,14
01-03-2025,telangana,warangal,506342,23,15
01-03-2025,gujarat,panch mahals,389001,555,1177
01-03-2025,haryana,yamunanagar,135106,119,159
01-03-2025,nagaland,kohima,797005,52,293
01-03-2025,nagaland,kohima,797001,116,715
01-03-2025,punjab,s.a.s nagar,140501,357,461
01-03-2025,chhattisgarh,balrampur-ramanujganj,497118,110,276
01-03-2025,telangana,medchal malkajgiri,500087,42,136
01-03-2025,uttar pradesh,sant kabir nagar,221406,136,154
01-03-2025,delhi,central,110008,633,1057
01-03-2025,maharashtra,raigad,402107,334,808
01-03-2025,gujarat,surendranagar,363002,145,98
01-03-2025,nagaland,mokokchung,798604,20,91
01-03-2025,manipur,senapati,795015,76,145
01-03-2025,jharkhand,saraikela kharsawan,833216,47,88
01-03-2025,andhra pradesh,sri potti sriramulu nellore,524316,32,55
01-03-2025,tripura,sepahijala,799103,446,145
01-03-2025,west bengal,north 24 parganas,743127,14,68
01-03-2025,andhra pradesh,sri potti sriramulu nellore,524307,25,31
01-03-2025,delhi,central,110005,441,950
01-03-2025,manipur,chandel,795103,12,49
01-03-2025,punjab,s.a.s nagar,160103,112,172
01-03-2025,manipur,churachandpur,795133,15,21
01-03-2025,maharashtra,raigad,402103,85,113
01-03-2025,tripura,unakoti,799263,808,76
01-03-2025,chhattisgarh,uttar bastar kanker,494333,37,110
01-03-2025,tripura,south tripura,799143,547,764
01-03-2025,delhi,south,110047,575,1147
01-03-2025,telangana,warangal,506313,15,39
01-03-2025,tripura,dhalai,799204,203,74
01-03-2025,west bengal,cooch behar,736134,17,50
01-03-2025,manipur,ukhrul,795142,210,902
01-03-2025,meghalaya,ri bhoi,793103,12,36
01-03-2025,maharashtra,raigad,410204,35,53
01-03-2025,west bengal,cooch behar,735303,17,78
01-03-2025,gujarat,panch mahals,388710,48,175
01-03-2025,maharashtra,mumbai,400017,271,280
01-03-2025,jharkhand,saraikela kharsawan,833219,291,246
01-03-2025,telangana,yadadri bhuvanagiri,508101,21,24
01-03-2025,gujarat,panch mahals,389110,110,349
01-03-2025,andhra pradesh,sri potti sriramulu nellore,524346,42,62
01-03-2025,tripura,south tripura,799105,67,238
01-03-2025,madhya pradesh,khandwa (east nimar),450116,422,193
01-03-2025,tripura,north tripura,799277,151,296
01-03-2025,gujarat,sabar kantha,383110,86,67
01-03-2025,manipur,thoubal,795101,48,44
01-03-2025,manipur,ukhrul,795144,19,40
01-03-2025,gujarat,sabar kantha,383330,17,65
01-03-2025,chhattisgarh,uttar bastar kanker,494776,74,303
01-03-2025,gujarat,surendranagar,363610,51,4
01-03-2025,gujarat,sabar kantha,383462,91,133
01-03-2025,andhra pradesh,sri potti sriramulu nellore,524344,64,93
01-03-2025,telangana,kumuram bheem asifabad,504296,65,114
01-03-2025,punjab,s.a.s nagar,140301,15,150
01-03-2025,manipur,senapati,795112,33,69
01-03-2025,andhra pradesh,sri potti sriramulu nellore,524001,119,155
01-03-2025,delhi,north,110006,901,1526
01-03-2025,tripura,north tripura,799256,435,202
01-03-2025,west bengal,north 24 parganas,743263,16,39
01-03-2025,nagaland,mokokchung,798614,20,47
01-03-2025,andhra pradesh,sri potti sriramulu nellore,524303,32,45
01-03-2025,west bengal,cooch behar,736135,12,121
01-03-2025,chhattisgarh,balrampur-ramanujganj,497225,126,287
01-03-2025,delhi,west,110027,546,1210
01-03-2025,andhra pradesh,sri potti sriramulu nellore,524129,88,60
01-03-2025,gujarat,surendranagar,382760,112,55
01-03-2025,gujarat,surendranagar,363421,296,279
01-03-2025,haryana,yamunanagar,133105,16,33
01-03-2025,west bengal,south 24 parganas,743374,39,121
01-03-2025,tripura,south tripura,799108,21,52
01-03-2025,delhi,central,110001,10,88
01-03-2025,andhra pradesh,y.s.r. kadapa,516172,15,22
01-03-2025,maharashtra,raigad,410206,1155,1341
01-03-2025,tripura,unakoti,799280,297,40
01-03-2025,gujarat,surendranagar,363330,140,390
01-03-2025,telangana,yadadri bhuvanagiri,508112,39,36
01-03-2025,nagaland,tuensang,798626,45,86
01-03-2025,maharashtra,raigad,402117,28,64
01-03-2025,gujarat,surendranagar,363001,610,513
01-03-2025,andhra pradesh,dr. b.r. ambedkar konaseema,502247,21,73
01-03-2025,gujarat,surendranagar,363440,193,300
01-03-2025,maharashtra,raigad,410203,143,309
01-03-2025,delhi,east,110053,89,94
01-03-2025,west bengal,south 24 parganas,743503,110,361
01-03-2025,andhra pradesh,sri potti sriramulu nellore,524132,126,135
01-03-2025,delhi,south,110076,743,1268
01-03-2025,tripura,gomati,799104,281,56
01-03-2025,nagaland,tseminyu,797109,13,46
01-03-2025,andhra pradesh,sri potti sriramulu nellore,524409,27,65
01-03-2025,west bengal,cooch behar,736160,14,37
01-03-2025,chhattisgarh,dakshin bastar dantewada,494449,70,261
01-03-2025,gujarat,sabar kantha,383205,268,319
01-03-2025,nagaland,dimapur,797113,46,105
01-03-2025,west bengal,south 24 parganas,743371,32,155
01-03-2025,telangana,kumuram bheem asifabad,504295,21,58
01-03-2025,chhattisgarh,dakshin bastar dantewada,494441,58,110
01-03-2025,tripura,north tripura,799288,23,96
01-03-2025,madhya pradesh,khargone (west nimar),451332,1035,1639
01-03-2025,tripura,south tripura,799155,741,759
01-03-2025,telangana,yadadri bhuvanagiri,508105,21,10
01-03-2025,manipur,chandel,795127,63,344
01-03-2025,chhattisgarh,uttar bastar kanker,494334,55,247
01-03-2025,jharkhand,saraikela kharsawan,831013,310,272
01-03-2025,madhya pradesh,khandwa (east nimar),450337,126,99
01-03-2025,uttar pradesh,bara banki,225412,21,44
01-03-2025,nagaland,mon,798602,54,132
01-03-2025,nagaland,tuensang,798612,192,510
01-03-2025,madhya pradesh,khandwa (east nimar),450771,147,112
01-03-2025,andhra pradesh,sri potti sriramulu nellore,524314,74,140
01-03-2025,tripura,west tripura,799212,357,375
01-03-2025,manipur,tamenglong,795125,23,60
01-03-2025,tripura,south tripura,799013,63,185
01-03-2025,tripura,north tripura,799251,465,206
01-03-2025,andhra pradesh,sri potti sriramulu nellore,524302,69,72
01-03-2025,gujarat,sabar kantha,383010,78,113
01-03-2025,haryana,yamunanagar,135021,137,246
01-03-2025,tripura,dhalai,799204,30,72
01-03-2025,gujarat,surendranagar,382775,190,279
01-03-2025,tripura,north tripura,799270,721,372
01-03-2025,manipur,chandel,795102,24,80
01-03-2025,jharkhand,saraikela kharsawan,832403,396,355
01-03-2025,madhya pradesh,khandwa (east nimar),450110,55,33
01-03-2025,gujarat,surendranagar,363035,58,50
01-03-2025,gujarat,sabar kantha,383276,39,103
01-03-2025,andhra pradesh,dr. b.r. ambedkar konaseema,502246,12,34
01-03-2025,maharashtra,mumbai,400010,100,61
01-03-2025,gujarat,surendranagar,363435,42,49
01-03-2025,uttar pradesh,sant kabir nagar,221310,338,121
01-03-2025,punjab,s.a.s nagar,140308,80,86
01-03-2025,tripura,sepahijala,799100,304,44
01-03-2025,delhi,central,110012,206,274
01-03-2025,gujarat,panch mahals,389240,105,314
01-03-2025,maharashtra,mumbai,400033,50,94
01-03-2025,telangana,kumuram bheem asifabad,504294,18,41
01-03-2025,tripura,west tripura,799205,305,497
01-03-2025,madhya pradesh,khargone (west nimar),450661,39,78
01-03-2025,west bengal,south 24 parganas,700137,26,85
01-03-2025,manipur,senapati,795104,235,168
01-03-2025,manipur,churachandpur,795143,82,104
01-03-2025,nagaland,dimapur,797115,194,273
01-03-2025,telangana,warangal,506142,14,13
01-03-2025,chhattisgarh,uttar bastar kanker,494337,69,259
01-03-2025,tripura,khowai,799207,354,83
01-03-2025,telangana,medchal malkajgiri,500072,120,223
01-03-2025,meghalaya,ri bhoi,793101,41,56
01-03-2025,maharashtra,raigad,402209,129,108
01-03-2025,west bengal,south 24 parganas,743373,51,185
01-03-2025,west bengal,south 24 parganas,743332,21,64
01-03-2025,gujarat,sabar kantha,383255,209,246
01-03-2025,andhra pradesh,sri potti sriramulu nellore,524201,289,271
01-03-2025,nagaland,dimapur,797116,133,186
01-03-2025,uttar pradesh,sant kabir nagar,221301,472,207
01-03-2025,andhra pradesh,sri potti sriramulu nellore,524308,95,78
01-03-2025,gujarat,surendranagar,363110,27,41
01-03-2025,nagaland,mon,798603,245,340
01-03-2025,gujarat,surendranagar,363530,602,662
01-03-2025,andhra pradesh,sri potti sriramulu nellore,524142,66,66
01-03-2025,tripura,gomati,799105,336,110
01-03-2025,madhya pradesh,khargone (west nimar),451221,237,330
01-03-2025,telangana,medchal malkajgiri,500100,20,36
01-03-2025,jharkhand,saraikela kharsawan,833101,71,118
