date,state,district,pincode,demo_age_5_17,demo_age_17_
01-03-2025,tripura,dhalai,799285,18,517
01-03-2025,delhi,central,110055,109,1458
01-03-2025,gujarat,sabar kantha,383355,22,123
01-03-2025,gujarat,surendranagar,363427,31,272
01-03-2025,madhya pradesh,khargone (west nimar),450551,12,90
01-03-2025,nagaland,peren,797110,29,229
01-03-2025,delhi,south,110024,18,426
01-03-2025,tripura,unakoti,799279,15,90
01-03-2025,telangana,medchal malkajgiri,500067,37,285
01-03-2025,telangana,medchal malkajgiri,500056,99,485
01-03-2025,madhya pradesh,khargone (west nimar),451001,209,1308
01-03-2025,madhya pradesh,khargone (west nimar),451228,121,664
01-03-2025,nagaland,chumoukedima,797103,18,145
01-03-2025,telangana,warangal,506331,21,265
01-03-2025,manipur,churachandpur,795006,54,95
01-03-2025,gujarat,sabar kantha,383460,123,233
01-03-2025,telangana,medchal malkajgiri,500085,67,580
01-03-2025,maharashtra,raigad,402106,11,203
01-03-2025,chhattisgarh,uttar bastar kanker,494635,31,336
01-03-2025,telangana,yadadri bhuvanagiri,508113,34,467
01-03-2025,meghalaya,ri bhoi,793105,52,506
01-03-2025,telangana,medchal malkajgiri,500068,38,322
01-03-2025,punjab,s.a.s nagar,140306,40,429
01-03-2025,chhattisgarh,uttar bastar kanker,494665,39,423
01-04-2025,delhi,south,110065,127,1009
01-04-2025,delhi,south,110074,301,1805
01-04-2025,delhi,east,110096,2262,5956
01-04-2025,haryana,yamunanagar,135102,71,502
01-04-2025,delhi,north,110054,97,642
01-04-2025,maharashtra,mumbai,400008,49,449
01-04-2025,delhi,central,110012,91,658
01-04-2025,delhi,west,110041,2229,7180
01-04-2025,punjab,s.a.s nagar,140507,46,645
01-04-2025,delhi,south,110080,199,1040
01-04-2025,haryana,yamunanagar,135133,71,362
01-04-2025,punjab,s.a.s nagar,140603,169,1637
01-05-2025,delhi,central,110055,132,1325
01-05-2025,delhi,west,110087,89,753
01-05-2025,madhya pradesh,khargone (west nimar),451225,32,122
01-05-2025,haryana,yamunanagar,133204,28,195
01-05-2025,gujarat,surendranagar,363030,77,526
01-05-2025,delhi,south,110030,131,1223
01-05-2025,madhya pradesh,khargone (west nimar),451331,96,466
01-05-2025,andhra pradesh,y.s.r. kadapa,516227,48,249
01-05-2025,punjab,s.a.s nagar,140301,181,1880
01-05-2025,punjab,s.a.s nagar,140603,123,1467
01-05-2025,madhya pradesh,khargone (west nimar),451221,57,300
01-05-2025,delhi,south,110062,511,5145
01-05-2025,haryana,yamunanagar,135003,157,958
01-06-2025,chhattisgarh,uttar bastar kanker,494669,149,1924
01-06-2025,delhi,west,110018,305,3176
01-06-2025,chhattisgarh,balrampur-ramanujganj,497225,370,9334
01-06-2025,haryana,yamunanagar,135003,142,802
01-06-2025,andhra pradesh,y.s.r. kadapa,516289,34,143
01-06-2025,telangana,medchal malkajgiri,500055,410,1644
01-06-2025,telangana,medchal malkajgiri,500090,306,1667
01-06-2025,delhi,south,110025,234,1729
01-03-2025,andhra pradesh,sri potti sriramulu nellore,524406,11,134
01-03-2025,delhi,central,110060,12,194
01-03-2025,delhi,west,110063,132,1460
01-03-2025,delhi,south,110074,156,2159
01-03-2025,haryana,yamunanagar,135001,328,2083
01-03-2025,madhya pradesh,khargone (west nimar),451440,65,237
01-03-2025,uttar pradesh,sant kabir nagar,221402,61,637
01-03-2025,gujarat,sabar kantha,383230,61,184
01-03-2025,telangana,yadadri bhuvanagiri,508286,10,228
01-03-2025,tripura,khowai,799205,34,382
01-03-2025,chhattisgarh,balrampur-ramanujganj,497001,14,213
01-03-2025,andhra pradesh,y.s.r. kadapa,516004,20,162
01-03-2025,gujarat,panch mahals,389360,20,272
01-03-2025,telangana,medchal malkajgiri,500037,219,763
01-03-2025,tripura,west tripura,799001,43,510
01-03-2025,andhra pradesh,y.s.r. kadapa,516434,17,172
01-03-2025,delhi,east,110092,546,4980
01-03-2025,madhya pradesh,khargone (west nimar),451335,81,482
01-03-2025,madhya pradesh,khargone (west nimar),451115,117,540
01-03-2025,jharkhand,saraikela kharsawan,832108,60,616
01-03-2025,andhra pradesh,dr. b.r. ambedkar konaseema,502319,12,79
01-03-2025,delhi,east,110096,725,3660
01-03-2025,nagaland,zunheboto,798620,53,498
01-03-2025,delhi,west,110041,801,5990
01-03-2025,manipur,senapati,795146,11,51
01-03-2025,tripura,west tripura,799008,31,297
01-03-2025,tripura,khowai,799203,12,248
01-03-2025,andhra pradesh,sri potti sriramulu nellore,524004,46,847
01-03-2025,tripura,west tripura,799181,10,555
01-03-2025,nagaland,dimapur,797117,12,25
01-03-2025,delhi,south,110044,572,6178
01-03-2025,andhra pradesh,sri potti sriramulu nellore,524404,15,237
01-03-2025,delhi,west,110026,32,347
01-03-2025,manipur,tamenglong,795147,48,300
01-03-2025,madhya pradesh,khandwa (east nimar),450117,82,317
01-03-2025,uttar pradesh,sant kabir nagar,221304,131,1374
01-03-2025,tripura,south tripura,799114,21,755
01-03-2025,gujarat,dangs,394716,98,557
