date,state,district,pincode,age_0_5,age_5_17,age_18_greater
09-03-2025,delhi,west,110018,29,11,15
09-03-2025,delhi,west,110059,93,42,42
09-03-2025,west bengal,cooch behar,736135,19,12,19
15-03-2025,delhi,west,110059,24,34,18
20-03-2025,andhra pradesh,sri potti sriramulu nellore,524311,15,19,17
20-03-2025,andhra pradesh,sri potti sriramulu nellore,524002,28,25,12
29-03-2025,meghalaya,ri bhoi,793105,30,11,26
01-04-2025,assam,cachar,788831,19,45,13
01-04-2025,nagaland,kohima,797001,134,228,23
01-04-2025,delhi,central,110003,80,41,12
01-04-2025,gujarat,sabar kantha,383422,43,49,23
01-04-2025,nagaland,dimapur,797112,249,454,80
01-04-2025,delhi,south,110017,151,35,12
01-04-2025,nagaland,kohima,797005,51,80,12
01-04-2025,manipur,churachandpur,795128,130,476,26
01-04-2025,madhya pradesh,khargone (west nimar),451001,166,37,12
01-04-2025,gujarat,panch mahals,389341,63,17,15
01-04-2025,gujarat,panch mahals,389001,182,54,59
01-04-2025,gujarat,sabar kantha,383205,62,11,20
01-04-2025,delhi,west,110059,974,344,151
01-04-2025,gujarat,sabar kantha,383255,82,27,12
01-04-2025,nagaland,phek,797108,83,112,11
01-04-2025,delhi,east,110092,676,221,15
01-04-2025,tripura,unakoti,799263,19,16,15
01-04-2025,madhya pradesh,khargone (west nimar),451335,39,15,10
01-04-2025,gujarat,panch mahals,389115,111,11,20
01-04-2025,meghalaya,ri bhoi,781131,22,152,17
01-04-2025,delhi,west,110018,275,96,32
01-04-2025,tripura,west tripura,799045,78,34,13
01-04-2025,telangana,medchal malkajgiri,500072,76,25,15
01-04-2025,gujarat,surendranagar,363427,58,13,10
01-04-2025,gujarat,panch mahals,389365,69,30,21
01-04-2025,nagaland,phek,797107,74,156,11
01-04-2025,gujarat,surendranagar,363310,145,52,42
01-04-2025,gujarat,sabar kantha,383270,79,60,32
01-04-2025,assam,cachar,788830,27,57,19
01-04-2025,tripura,west tripura,799035,68,31,12
01-04-2025,gujarat,surendranagar,363440,79,28,10
01-04-2025,nagaland,longleng,798625,131,226,12
01-04-2025,meghalaya,ri bhoi,793102,105,460,196
01-04-2025,madhya pradesh,khargone (west nimar),451332,294,93,12
01-04-2025,meghalaya,ri bhoi,793103,85,360,85
01-04-2025,assam,cachar,788931,34,36,43
01-04-2025,meghalaya,ri bhoi,793105,88,434,184
01-04-2025,assam,cachar,788819,50,41,24
01-04-2025,nagaland,peren,797110,201,331,12
01-04-2025,delhi,south,110074,253,102,10
01-04-2025,nagaland,tuensang,798612,173,296,34
01-04-2025,gujarat,panch mahals,389210,90,14,53
01-04-2025,nagaland,noklak,798626,47,65,16
01-04-2025,madhya pradesh,khandwa (east nimar),450117,271,133,16
01-04-2025,gujarat,panch mahals,389350,59,19,15
01-04-2025,gujarat,dangs,394716,85,13,22
01-04-2025,punjab,s.a.s nagar,140301,204,65,11
01-04-2025,gujarat,surendranagar,363520,154,66,29
01-04-2025,nagaland,chumoukedima,797103,16,57,13
01-04-2025,madhya pradesh,khargone (west nimar),451331,196,43,18
01-04-2025,nagaland,kohima,797003,27,77,14
01-04-2025,gujarat,sabar kantha,383001,123,50,23
01-04-2025,meghalaya,ri bhoi,793101,19,94,32
01-05-2025,meghalaya,ri bhoi,793103,57,140,120
01-05-2025,delhi,east,110051,185,67,19
01-05-2025,gujarat,dangs,394710,114,17,14
01-05-2025,delhi,east,110092,485,213,36
01-05-2025,delhi,south,110017,118,54,17
01-05-2025,gujarat,sabar kantha,383001,90,41,11
01-05-2025,nagaland,dimapur,797112,155,207,22
01-05-2025,madhya pradesh,khandwa (east nimar),450661,47,21,10
01-05-2025,assam,cachar,788819,25,39,13
01-05-2025,nagaland,peren,797110,148,119,15
01-05-2025,delhi,east,110095,299,62,12
01-05-2025,meghalaya,ri bhoi,793101,14,30,26
01-05-2025,manipur,bishnupur,795134,26,25,12
01-05-2025,madhya pradesh,khargone (west nimar),451441,304,131,13
01-05-2025,gujarat,panch mahals,389001,195,54,32
01-05-2025,meghalaya,ri bhoi,793102,99,323,235
01-05-2025,delhi,central,110003,53,22,10
01-05-2025,delhi,south,110065,99,34,11
01-05-2025,meghalaya,ri bhoi,781131,13,30,69
01-05-2025,manipur,bishnupur,795133,50,54,18
01-05-2025,meghalaya,ri bhoi,793105,60,210,183
01-05-2025,gujarat,panch mahals,389365,47,19,14
01-05-2025,delhi,central,110055,155,83,10
01-05-2025,gujarat,dangs,394716,60,32,24
01-05-2025,gujarat,panch mahals,389120,69,10,15
01-05-2025,delhi,west,110059,1094,373,140
01-05-2025,delhi,west,110018,317,120,32
01-06-2025,delhi,south,110062,452,188,10
01-06-2025,delhi,west,110059,1193,403,199
01-06-2025,madhya pradesh,khargone (west nimar),451332,242,258,26
01-06-2025,delhi,west,110027,140,52,17
01-06-2025,delhi,east,110091,305,113,12
01-06-2025,chhattisgarh,gaurela-pendra-marwahi,495118,115,54,19
01-06-2025,meghalaya,ri bhoi,793102,42,226,189
01-06-2025,andhra pradesh,sri potti sriramulu nellore,524345,87,44,24
01-06-2025,andhra pradesh,sri potti sriramulu nellore,524315,92,84,41
01-06-2025,tripura,dhalai,799289,33,25,10
01-06-2025,delhi,east,110092,355,186,14
01-06-2025,nagaland,peren,797110,37,141,10
01-06-2025,nagaland,dimapur,797112,105,240,32
01-06-2025,nagaland,mon,798621,39,121,14
01-06-2025,delhi,north,110040,151,151,11
01-06-2025,delhi,central,110005,134,49,11
01-06-2025,delhi,north,110039,181,93,11
01-06-2025,andhra pradesh,sri potti sriramulu nellore,524304,15,29,18
01-06-2025,west bengal,cooch behar,735224,47,46,12
01-06-2025,meghalaya,ri bhoi,793103,27,172,127
01-06-2025,delhi,west,110018,249,132,29
01-06-2025,chhattisgarh,gaurela-pendra-marwahi,495119,288,131,24
01-06-2025,tripura,dhalai,799275,27,62,10
01-06-2025,andhra pradesh,sri potti sriramulu nellore,524305,121,46,16
01-06-2025,andhra pradesh,sri potti sriramulu nellore,524201,222,65,45
01-06-2025,andhra pradesh,sri potti sriramulu nellore,524411,54,36,19
01-06-2025,manipur,churachandpur,795128,91,499,13
01-06-2025,delhi,south,110024,41,16,13
01-06-2025,delhi,south,110017,126,45,20
01-06-2025,andhra pradesh,sri potti sriramulu nellore,524308,53,21,11
01-06-2025,andhra pradesh,sri potti sriramulu nellore,524309,44,23,13
01-06-2025,uttar pradesh,siddharthnagar,272192,103,278,12
01-06-2025,andhra pradesh,sri potti sriramulu nellore,524322,54,57,14
01-07-2025,delhi,south,110029,57,15,16
01-07-2025,chhattisgarh,balrampur-ramanujganj,497224,230,123,25
01-07-2025,uttar pradesh,siddharthnagar,272202,276,379,26
01-07-2025,meghalaya,ri bhoi,793105,186,400,343
01-07-2025,manipur,churachandpur,795128,348,1265,13
01-07-2025,andhra pradesh,sri potti sriramulu nellore,524345,56,59,15
01-07-2025,madhya pradesh,khargone (west nimar),451331,235,234,18
01-07-2025,meghalaya,ri bhoi,793101,16,68,35
01-07-2025,nagaland,tuensang,798626,25,208,15
01-07-2025,uttar pradesh,siddharthnagar,272207,292,447,15
01-07-2025,madhya pradesh,khargone (west nimar),451332,509,579,61
01-07-2025,west bengal,cooch behar,736146,204,303,12
01-07-2025,uttar pradesh,bara banki,225302,236,178,23
01-07-2025,nagaland,peren,797110,36,105,18
01-07-2025,delhi,south,110065,129,52,20
01-07-2025,chhattisgarh,balrampur-ramanujganj,497223,579,197,10
01-07-2025,nagaland,mon,798621,117,221,29
01-07-2025,andhra pradesh,sri potti sriramulu nellore,524411,78,54,15
01-07-2025,nagaland,wokha,797111,40,191,17
01-07-2025,tripura,sepahijala,799102,166,144,15
01-07-2025,delhi,central,110054,103,33,10
01-07-2025,nagaland,zunheboto,798620,48,277,24
01-07-2025,delhi,south,110017,199,83,23
01-07-2025,uttar pradesh,siddharthnagar,272206,448,683,57
01-07-2025,meghalaya,ri bhoi,793103,35,262,248
01-07-2025,delhi,east,110092,792,290,43
01-07-2025,madhya pradesh,khandwa (east nimar),450001,586,233,12
01-07-2025,delhi,east,110091,527,214,12
01-07-2025,uttar pradesh,bara banki,225305,637,414,17
01-07-2025,andhra pradesh,sri potti sriramulu nellore,524004,176,102,18
01-07-2025,uttar pradesh,bara banki,225306,167,100,12
01-07-2025,delhi,south,110030,231,105,21
01-07-2025,west bengal,cooch behar,736165,174,84,32
01-07-2025,nagaland,dimapur,797115,49,93,12
01-07-2025,delhi,south,110016,72,24,20
01-07-2025,chhattisgarh,balrampur-ramanujganj,497118,291,148,15
01-07-2025,delhi,south,110024,56,25,23
01-07-2025,west bengal,cooch behar,736135,722,623,45
01-07-2025,delhi,central,110007,285,89,14
01-07-2025,delhi,west,110018,753,205,32
01-07-2025,delhi,north,110039,279,118,13
01-07-2025,west bengal,cooch behar,736131,126,72,11
01-07-2025,nagaland,kohima,797001,74,154,11
01-07-2025,andhra pradesh,sri potti sriramulu nellore,524413,29,22,14
01-07-2025,nagaland,kiphire,798611,46,233,26
01-07-2025,madhya pradesh,khargone (west nimar),451111,146,68,11
01-07-2025,madhya pradesh,khargone (west nimar),451115,306,213,14
