date,state,district,pincode,age_0_5,age_5_17,age_18_greater,district_new
02-03-2025,meghalaya,east khasi hills,793121,11,61,37,
09-03-2025,maharashtra,aurangabad,431001,42,46,12,
15-03-2025,meghalaya,west khasi hills,793119,34,10,148,
15-03-2025,delhi,north west delhi,110086,35,15,10,
15-03-2025,meghalaya,west jaintia hills,793150,92,17,30,
20-03-2025,maharashtra,aurangabad,431001,134,38,18,
20-03-2025,meghalaya,west jaintia hills,793150,55,10,95,
20-03-2025,meghalaya,west khasi hills,793119,20,19,202,
23-03-2025,meghalaya,west khasi hills,793119,43,46,14,
23-03-2025,meghalaya,east khasi hills,793015,11,11,115,
26-03-2025,meghalaya,west jaintia hills,793150,168,26,17,
27-03-2025,gujarat,dohad,389180,16,18,27,
27-03-2025,gujarat,dohad,389170,16,19,14,
27-03-2025,maharashtra,aurangabad,431001,20,19,16,
28-03-2025,meghalaya,east khasi hills,793121,22,20,12,
28-03-2025,meghalaya,west khasi hills,793119,21,38,78,
01-04-2025,meghalaya,east khasi hills,793112,29,83,18,
01-04-2025,karnataka,bengaluru,560036,204,34,29,
01-04-2025,karnataka,bengaluru,560032,311,46,25,
01-04-2025,meghalaya,east khasi hills,793008,16,195,85,
01-04-2025,maharashtra,ahmadnagar,413201,71,15,10,
01-04-2025,meghalaya,east khasi hills,793108,57,188,56,
01-04-2025,delhi,north west delhi,110040,221,134,28,
01-04-2025,meghalaya,east khasi hills,793016,13,56,21,
01-04-2025,karnataka,bengaluru,560047,150,11,12,
01-04-2025,meghalaya,east khasi hills,793015,190,706,242,
01-04-2025,karnataka,bengaluru,560077,218,38,41,
01-04-2025,meghalaya,east khasi hills,793121,301,972,290,
01-04-2025,karnataka,bengaluru,560029,102,23,17,
01-04-2025,karnataka,bengaluru,560103,67,24,37,
01-04-2025,bihar,west champaran,845453,271,300,20,
01-04-2025,delhi,north west delhi,110085,387,114,13,
01-04-2025,karnataka,bengaluru,560066,162,38,55,
01-04-2025,meghalaya,west garo hills,794105,145,176,62,
01-04-2025,meghalaya,south garo hills,794005,50,231,118,
01-04-2025,karnataka,bengaluru,560076,193,50,36,
01-04-2025,karnataka,bengaluru,560049,183,25,15,
01-04-2025,karnataka,bengaluru,560061,194,23,16,
01-04-2025,meghalaya,west jaintia hills,793150,382,792,375,
01-04-2025,meghalaya,north garo hills,794110,19,119,44,
01-04-2025,haryana,gurgaon,122002,68,47,14,
01-04-2025,meghalaya,east khasi hills,793113,50,239,78,
01-04-2025,meghalaya,west garo hills,794002,134,344,199,
01-04-2025,bihar,east champaran,845315,70,164,12,
01-04-2025,bihar,east champaran,845303,130,466,23,
01-04-2025,meghalaya,south west khasi hills,793119,44,111,38,
01-04-2025,meghalaya,west garo hills,794101,38,102,41,
01-04-2025,karnataka,bengaluru,560048,98,27,19,
01-04-2025,meghalaya,south garo hills,794107,38,46,26,
01-04-2025,karnataka,bengaluru,560064,325,45,40,
01-04-2025,telangana,k.v. rangareddy,500032,27,14,13,
01-04-2025,delhi,south west delhi,110061,50,20,11,
01-04-2025,meghalaya,east jaintia hills,793160,234,255,86,
01-04-2025,delhi,south west delhi,110045,314,95,22,
01-04-2025,meghalaya,west jaintia hills,793161,30,96,32,
01-04-2025,karnataka,bengaluru,560087,131,28,34,
01-04-2025,delhi,south west delhi,110037,126,65,11,
01-04-2025,karnataka,bengaluru,560102,61,12,22,
01-04-2025,delhi,north west delhi,110034,295,101,13,
01-04-2025,meghalaya,west khasi hills,793120,323,858,487,
01-04-2025,meghalaya,south garo hills,794103,29,147,97,
01-04-2025,telangana,k.v. rangareddy,500005,132,11,15,
01-04-2025,meghalaya,west garo hills,794103,198,347,137,
01-04-2025,bihar,east champaran,845433,190,206,20,
01-04-2025,meghalaya,east khasi hills,793004,50,76,17,
01-04-2025,meghalaya,west jaintia hills,793109,86,167,29,
01-04-2025,meghalaya,east khasi hills,793110,168,538,175,
01-04-2025,karnataka,bengaluru,560092,74,13,14,
01-04-2025,meghalaya,west garo hills,794109,156,126,62,
01-04-2025,meghalaya,south garo hills,794102,58,288,82,
01-04-2025,bihar,east champaran,845415,148,193,12,
01-04-2025,bihar,east champaran,845305,73,112,17,
01-04-2025,karnataka,bengaluru,560083,162,30,12,
01-04-2025,assam,karimganj,788723,155,77,15,
01-04-2025,meghalaya,east khasi hills,793111,40,157,44,
01-04-2025,karnataka,bengaluru,560091,343,21,21,
01-04-2025,meghalaya,east jaintia hills,793200,200,510,197,
01-04-2025,bihar,east champaran,845302,239,335,26,
01-04-2025,karnataka,bengaluru,560035,105,30,50,
01-04-2025,meghalaya,east khasi hills,793012,23,180,90,
01-04-2025,meghalaya,east khasi hills,793009,68,339,141,
01-04-2025,karnataka,bengaluru,560093,66,20,12,
01-04-2025,assam,karimganj,788724,163,122,12,
01-04-2025,meghalaya,west garo hills,794005,76,151,64,
01-04-2025,meghalaya,north garo hills,794108,47,190,76,
01-04-2025,karnataka,bengaluru,560016,210,48,45,
01-04-2025,jammu and kashmir,punch,185121,142,59,10,
01-04-2025,assam,karimganj,788737,67,105,10,
01-04-2025,meghalaya,west garo hills,794001,67,136,13,
01-04-2025,karnataka,bengaluru,560024,51,15,10,
01-04-2025,meghalaya,east khasi hills,793019,25,55,62,
01-04-2025,karnataka,bengaluru,560100,228,51,31,
01-04-2025,sikkim,south sikkim,737126,15,23,11,
01-04-2025,meghalaya,west jaintia hills,793151,214,423,291,
01-04-2025,meghalaya,east garo hills,794111,247,714,185,
01-04-2025,bihar,west champaran,845103,123,188,15,
